排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1YNtb66ErA,https://www.bilibili.com/video/BV1YNtb66ErA,当广告挡住关键时刻，可能就是生死之间,社会资讯,资讯,中国新闻网,2026-08-31 13:36:28,89,2486347,2047,17150,20124,58054,5387,343391
2,BV1a3th65EQb,https://www.bilibili.com/video/BV1a3th65EQb,西西弗斯推的石头，居然是孙悟空......【AI全民制作人】#SpecialForAAIFF,AI影视,影视,张拉灯,2026-08-31 17:42:48,295,3730789,1729,3459,50660,27299,13475,208879
3,BV18s4k6gESU,https://www.bilibili.com/video/BV18s4k6gESU,如果让专业厨师推荐私藏小店他们会怎么推荐？,美食探店,美食,特厨隋坡,2026-08-30 11:30:00,502,2286592,2713,4467,43931,11763,26851,359531
4,BV1Este6wExx,https://www.bilibili.com/video/BV1Este6wExx,08年美国讽刺金曲《朋友的酒》（英语填词cover）“空城计の小曲”,AI音乐,音乐,梨茗子,2026-09-01 09:30:00,258,2066148,723,4519,44436,29795,16697,95848
5,BV1G7tG6tEwL,https://www.bilibili.com/video/BV1G7tG6tEwL,【何同学】库克时代,商业财经,知识,老师好我叫何同学,2026-09-01 17:00:00,2615,1495062,8725,2415,41172,72283,10641,99960
6,BV1bLth6rE1T,https://www.bilibili.com/video/BV1bLth6rE1T,【蕾米埃尔】：入木三分，原来是字面意思？,其他手工,手工,木姬空语,2026-08-31 17:48:57,6891,2055163,1841,3324,12560,24182,4576,119171
7,BV1n1tA67EsT,https://www.bilibili.com/video/BV1n1tA67EsT,把公司当成主题乐园,剧情演绎,小剧场,papi酱,2026-09-01 18:00:00,183,1611841,1598,2885,8244,15756,18126,150047
8,BV1eHt86mErz,https://www.bilibili.com/video/BV1eHt86mErz,三年之期已到，恭迎世一上归位！【第6集】,鬼畜综合,鬼畜,九夜听风,2026-08-31 20:01:50,386,2461995,9137,5727,10804,71064,24865,79039
9,BV1potV6SEWY,https://www.bilibili.com/video/BV1potV6SEWY,“小传人”来了（假期拍摄，快乐起来）,应试教育,知识,铭门学府张超,2026-09-01 20:58:28,117,889449,1520,6002,5329,25078,811,191375
10,BV1u4tt6iEvf,https://www.bilibili.com/video/BV1u4tt6iEvf,李炮儿在李炮儿模仿大赛中获得了第二名,UP主小综艺,小剧场,李炮炮儿,2026-08-31 17:30:00,247,2607355,1374,2102,9471,4650,3344,145956
11,BV1P4th6PE81,https://www.bilibili.com/video/BV1P4th6PE81,“用最温柔的方式，体面的告别了这个世界”｜听歌/小曲,电台·歌单,音乐,我爱吃派大星,2026-09-01 08:20:00,287,1606237,3207,2764,11523,4428,1313,143025
12,BV1xttH6rEKu,https://www.bilibili.com/video/BV1xttH6rEKu,【我在现代当幽差】EP02 神仙？妖怪？谢谢【UP动画】,鬼畜综合,鬼畜,红豆稀饭中,2026-08-30 19:59:16,564,2363516,2105,3344,34580,69488,10117,112109
13,BV1RhtV6iEt3,https://www.bilibili.com/video/BV1RhtV6iEt3,《明日方舟》干员「结城理」技能展示PV,单人RPG游戏,游戏,明日方舟,2026-09-02 11:00:00,173,1750023,8187,15938,11153,18518,66888,96254
14,BV1XPtM6SEHv,https://www.bilibili.com/video/BV1XPtM6SEHv,纯手搓的视频，初音会喜欢吗？【bilibilionly同人扶持计划】,同人动画,二次元,利利那TD25,2026-09-01 09:45:04,96,791738,403,1326,25958,47831,4561,160127
15,BV1GStg6oEQe,https://www.bilibili.com/video/BV1GStg6oEQe,绝活,剧情演绎,小剧场,脱缰凯Kk,2026-09-01 19:15:20,216,1887311,1783,1141,7758,3270,1096,123084
16,BV1Aj4D6UEHB,https://www.bilibili.com/video/BV1Aj4D6UEHB,漂亮的恶意01|误入充满恶意的顶级财阀校园，川渝转学生表示，她真的只想好好学习！,短剧短片,影视,海底蟹黄堡007,2026-08-30 12:37:18,396,1756556,2213,3348,42582,25999,12049,87609
17,BV1f9t86RE52,https://www.bilibili.com/video/BV1f9t86RE52,“所以时间的参照物是什么”【原神混剪】,单人RPG游戏,游戏,小阿柴_,2026-08-31 18:48:50,344,496594,784,2962,36432,37325,5579,81848
18,BV1CGtp66EEM,https://www.bilibili.com/video/BV1CGtp66EEM,全程高能！队友接连失踪？活着并逃离这里！！！「逃离疯人院」,沙盒类,游戏,夏天y,2026-08-31 08:00:00,1297,1411360,36122,7227,48840,65561,2067,110855
19,BV1ZJtu6tEyd,https://www.bilibili.com/video/BV1ZJtu6tEyd,有市无价再创记录！世界最大顶级黄油蟹与巨型松茸的完美邂逅！鱼子酱只配当咸菜？！,美食测评,美食,大祥哥来了,2026-09-01 18:00:00,1012,1079393,2405,1476,11884,62687,3781,73495
20,BV1BjtE6HExq,https://www.bilibili.com/video/BV1BjtE6HExq,极限挑战——时光大桥,娱乐综艺正片,娱乐,王迅,2026-09-02 11:04:34,184,1340793,756,2899,7425,21455,2709,119302
21,BV1h5tH6nEmS,https://www.bilibili.com/video/BV1h5tH6nEmS,吃饭一定要去端菜，自己爱吃的菜全放跟前！,其他vlog,vlog,笑点有点低哦,2026-08-30 21:24:45,33,5643175,1424,12837,117963,12270,62743,440454
22,BV1WPt86FETB,https://www.bilibili.com/video/BV1WPt86FETB,《安心安全 | 安心安全》MV ：日本制造最重视的就是企业形象,AI音乐,音乐,即兴演奏家,2026-08-31 20:50:17,151,1677415,1464,5602,28459,37417,4645,115832
23,BV1nktx6mER5,https://www.bilibili.com/video/BV1nktx6mER5,我看开学未必有我忧郁,鞋服穿搭,时尚美妆,柯洁,2026-08-31 12:14:06,18,2290398,4009,9530,10988,6621,11925,275932
24,BV1Hj4D6UEw4,https://www.bilibili.com/video/BV1Hj4D6UEw4,穿越原始社会必备技能之制作——石臼,其他手工,手工,w疯狂现代人,2026-08-30 17:05:00,244,2489383,1245,3135,22451,3700,3618,124114
25,BV16g4y6tEzY,https://www.bilibili.com/video/BV16g4y6tEzY,【大学生就业指导】麦当当薯条N重奏！200块买两斤土豆？不能够了！,美食制作,美食,阿白的金手指厨房,2026-08-29 18:00:42,294,2391611,668,2544,181331,22118,16125,225218
26,BV1tLth6rE1n,https://www.bilibili.com/video/BV1tLth6rE1n,他，凭什么成为中华民国的国父？【历史调研室105】,人文历史,知识,历史调研室,2026-08-31 17:35:55,1780,870613,1418,3240,22124,24929,3038,61230
27,BV1mK4X6AE1A,https://www.bilibili.com/video/BV1mK4X6AE1A,“佯作畏生惧死，身担太行脊梁”【赤伶DJ-变速】【少年脊梁の小曲】,电台·歌单,音乐,早睡起大王,2026-08-30 18:00:00,257,1796151,2059,2198,8447,5915,311,159394
28,BV1AvtW6yEan,https://www.bilibili.com/video/BV1AvtW6yEan,日语版《朋友的酒》citypop remix（空城计の小曲）,AI音乐,音乐,181319,2026-08-30 22:48:03,181,1710071,757,3214,28850,9692,17321,54481
29,BV1e6tb61ETL,https://www.bilibili.com/video/BV1e6tb61ETL,当你穿进老钱班34,剧情演绎,小剧场,侯绿萝,2026-08-31 13:09:12,192,1671107,586,574,6304,3412,985,103475
30,BV1q7t86nEfU,https://www.bilibili.com/video/BV1q7t86nEfU,雷霆大睡的狸,猫,动物,BoBo的摄影日记,2026-08-31 19:22:20,59,1211115,593,1863,24024,3646,10977,163520
31,BV1uut46FE2m,https://www.bilibili.com/video/BV1uut46FE2m,【OC动画】绝对不可以熬夜！除非你是小女仆🥺【魔女夜话小剧场】-bilibilionly同人扶持计划,同人动画,二次元,莉莉莉莉尔,2026-08-31 19:30:00,91,579882,161,562,44506,4438,1586,122277
32,BV1u8tt6eEea,https://www.bilibili.com/video/BV1u8tt6eEea,你们的厨艺真是差嘟嘟的,美食综合,美食,戈登拉姆齐Gordon,2026-08-31 18:00:00,34,1424348,727,4823,19390,3070,2534,160997
