词,状态,上期排名,上期词频,本期排名,本期词频,排名变化
ai,上升,26,2,1,30,25
挑战,上升,5,4,2,24,3
世界,上升,15,2,3,21,12
制作,上升,28,2,4,20,24
计划,下降,2,5,5,19,-3
游戏,上升,23,2,6,19,17
动画,上升,292,1,7,17,285
pv,下降,1,5,8,16,-7
扶持,下降,4,4,9,16,-5
小曲,上升,152,1,10,15,142
全民,上升,27,2,11,14,16
中国,新进,,,12,14,
宇宙,新进,,,13,12,
大赛,上升,279,1,14,12,265
明日方舟,上升,77,1,15,11,62
起来,新进,,,16,11,
逃离,新进,,,17,10,
推荐,上升,451,1,18,10,433
开学,上升,309,1,19,9,290
耗时,上升,55,1,20,9,35
终末,新进,,,21,9,
华强,新进,,,22,9,
美国,新进,,,23,9,
小龙,新进,,,24,8,
无限,上升,203,1,25,8,178
一定,新进,,,26,8,
我的世界,新进,,,27,8,
真实,上升,271,1,28,8,243
时间,上升,512,1,29,8,483
一条,新进,,,30,8,
电影,上升,511,1,31,8,480
官方,上升,284,1,32,8,252
这种,新进,,,33,8,
恶意,新进,,,34,8,
安全,新进,,,35,8,
成为,上升,73,1,36,7,37
幻想,下降,31,2,37,7,-6
少年,下降,14,2,38,7,-24
方案,新进,,,39,7,
英语,上升,291,1,40,7,251
角色,上升,326,1,41,7,285
失踪,新进,,,42,7,
大学生,新进,,,43,7,
specialforaaiff,新进,,,44,7,
顶级,新进,,,45,7,
石头,新进,,,46,7,
日本,新进,,,47,7,
朋友,新进,,,48,7,
空城计,新进,,,49,7,
贵州,上升,261,1,50,6,211
迎来,下降,36,2,51,6,-15
全球,下降,16,2,52,6,-36
一年,上升,56,1,53,6,3
救赎,上升,57,1,54,6,3
最大,上升,207,1,55,6,152
小时,上升,188,1,56,6,132
mv,上升,435,1,57,6,378
人类,新进,,,58,6,
欢快,新进,,,59,6,
队友,新进,,,60,6,
铠甲,新进,,,61,6,
勇士,新进,,,62,6,
找到,新进,,,63,6,
脊梁,新进,,,64,6,
